code,name,zone,state,address,latitude,longitude
BDHL,Badhal,NWR,Rajasthan,"Kishangarh Renwal, Rajasthan",75.4516454,27.2520587
KHH,KICHHA,NER,Uttar Pradesh,"Kichha, Uttar Pradesh",79.519746,28.913427000000002
SRKN,Sherekan,NWR,Rajasthan,"MDR 89, Rajasthan",74.43499088287354,29.55519806064484
BKKA,Bhukarka,NWR,Rajasthan,"Bhukarka, Rajasthan",74.75103096105158,29.238227312503696
NHR,Nohar,NWR,Rajasthan,"State Highway 36, Rajasthan",74.77362781763077,29.192562738768984
PRGD,Perungudi,SR,Tamil Nadu,"Chennai, Tamil Nadu",80.231363,12.975217
KNNA,Khinaniyan,NWR,Haryana,"State Highway 23, Haryana",74.7179570607841,29.345637263205944
JKR,JAULKHERA,,,,78.216684,21.838466
BYS,BARSALI,,,,78.03136099999999,21.909813
GW,GIRWAR,,,,78.936311,23.838185999999997
DGD,DANGIDHAR,,,,79.019912,23.871771000000003
DOD,DHODHAR,WR,Madhya Pradesh,"Dhodar, Madhya Pradesh",75.10354600000001,23.770740999999997
GAJ,GANESHGANJ,,,,79.074633,23.895862
JNM,Jayanagar Majilpur Halt,ER,West Bengal,"Jaynagar, West Bengal",88.415324,22.168635
NSD,NASIRABAD,NWR,Rajasthan,"Nasirabad, Rajasthan",74.71699100000001,26.294459999999997
PHA,PATHARIA,,,,79.192899,23.905726
NZB,NIZAMABAD,SCR,Andhra Pradesh,"Nizamabad, Andhra Pradesh",78.103238,18.679164999999998
RJO,RAJENDRA PUL,,,,86.01054599999999,25.387446999999998
ADT,ADUTURAI,SR,Tamil Nadu,"Aduthurai, Tamil Nadu",79.478668,11.009165
KMU,KUMBAKONAM,SR,Tamil Nadu,"Kumbakonam, Tamil Nadu",79.388644,10.952962
MNM,MANAMADURAI JN,SR,Tamil Nadu,"Sivaganga, Tamil Nadu",78.45351,9.681538999999999
GKP,GORAKHPUR JN,,,,83.381499,26.759311
VRM,VARNAMA,,,,73.16928300000001,22.184274000000002
GKC,GORAKHPUR CANT,,,,83.416821,26.750649
ITA,ITOLA,,,,73.156746,22.149889
BTU,BARAUT,NR,Uttar Pradesh,"Baraut, Uttar Pradesh",77.273006,29.09692
MOGA,Moga,NR,Punjab,"Moga, Punjab",75.16846699999999,30.817296
SIOB,SAMAKHIALI JN,,,,70.503394,23.309819
RDK,Rasheedpura Khori,NWR,Rajasthan,"MDR 87, Rajasthan",75.087121,27.713786000000002
PVD,PEDDAVADIAPUDI,,,,80.612645,16.414205000000003
YLM,ELLAMANCHILI,,,,82.85262,17.553652000000003
CHPT,Chatrappatti,,,,77.655113,10.476970999999999
JLD,JARWAL ROAD,,,,81.540406,27.120389
BRJN,BRAJRAJNAGAR,,,,83.923653,21.822718000000002
CLJ,COLONELGANJ,,,,81.69417800000001,27.137698
KTHL,KATHOLA,,,,81.8556626477,27.1465555756
MND,MUNDERWA,,,,82.903373,26.776435
SNSI,SAINAGAR SHIRDI,CR,Maharashtra,"Near New Bus Stand Shirdi Sainagar, Maharashtra",74.4806877,19.780792299999998
DLJ,DHOLA JN,WR,Gujarat,"Dhola, Gujarat",71.738273,21.822549000000002
PGW,PHAGWARA JN,,,,75.7655019775,31.217555749800002
JUP,Jhunpa,?,Rajasthan,"NH 65, Rajasthan",75.521553,28.777449
JSG,JHARSUGUDA JN,,,,84.017427,21.862274
KYW,KARCHHUE,,,,84.20715351199999,26.2311244405
MHRN,MAHENDRANATH,,,,84.509909,26.000739
TKVR,TAPPA KHAJURIAY,,,,84.688889,25.807401000000002
DPI,DODDAMPATTI,,,,78.42225009,12.18134581
AQG,ASHAPURA GOMAT,NWR,Rajasthan,"National Highway 15, Rajasthan",71.892665,26.950232
NEA,NEYKKARAPATTI,,,,78.09669699999999,11.612765
GRL,GORAUL,,,,85.318477,25.931048999999998
KHI,KURHANI,,,,85.339288,25.979631
