number,name,type,zone,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration_h,duration_m,distance,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
04601,Jammu Tawi Udhampur Special,DEMU,NR,JAT,JAMMU TAWI,UHP,UDHAMPUR,10:40:00,12:15:00,1.0,35.0,53.0,04602,0,0,0,0,0,0
04602,UDHAMPUR JAMMUTAWI DMU,DEMU,NR,UHP,UDHAMPUR,JAT,JAMMU TAWI,06:45:00,08:35:00,1.0,50.0,53.0,04601,0,0,0,0,0,0
04603,JAT UDAHMPUR DMU,DEMU,NR,JAT,JAMMU TAWI,UHP,UDHAMPUR,16:15:00,17:50:00,1.0,35.0,53.0,04604,0,0,0,0,0,0
04604,UDHAMPUR JAMMUTAWI DMU,DEMU,NR,UHP,UDHAMPUR,JAT,JAMMU TAWI,18:20:00,19:50:00,1.0,30.0,53.0,04603,0,0,0,0,0,0
04728,Mumbai BandraT-Bikaner SF Special,SF,NWR,BDTS,MUMBAI BANDRA TERMINUS,BKN,BIKANER JN,14:35:00,12:30:00,21.0,55.0,1212.0,04727,1,1,1,0,0,0
04741,Sirsa - Hisar Passenger Special,Pass,?,SSA,Sirsa,HSR,Hisar,22:50:00,00:25:00,1.0,35.0,82.0,04742,0,0,0,0,0,0
04742,Hisar - Sirsa Passenger Special,Pass,?,HSR,Hisar,SSA,Sirsa,04:20:00,06:10:00,1.0,50.0,82.0,04741,0,0,0,0,0,0
04853,Rewari Degana Merta Special,Pass,NWR,DNA,DEGANA JN,MTD,MERTA ROAD JN,22:30:00,23:45:00,1.0,15.0,44.0,04854,0,0,0,0,0,0
04854,Degana Merta Special,Pass,NWR,MTD,MERTA ROAD JN,DNA,DEGANA JN,03:40:00,04:40:00,1.0,0.0,44.0,04853,0,0,0,0,0,0
09022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),SF,WR,JAT,JAMMU TAWI,BDTS,MUMBAI BANDRA TERMINUS,09:30:00,17:50:00,32.0,20.0,1957.0,09021,1,1,1,1,0,0
11017,Chalukya Express,Exp,CR,DR,MUMBAI DADAR CENTRAL,YPR,YESVANTPUR JN,21:30:00,21:55:00,24.0,25.0,1205.0,11018,1,1,1,0,0,0
11019,Konark Express,Exp,CR,CSTM,MUMBAI CST,BBS,BHUBANESWAR,15:10:00,04:25:00,37.0,15.0,1932.0,11020,1,1,1,0,0,0
11020,Konark Express,Exp,CR,BBS,BHUBANESWAR,CSTM,MUMBAI CST,15:20:00,03:55:00,36.0,35.0,1932.0,11019,1,1,1,0,0,0
11023,Sahyadri Express,Exp,CR,CSTM,MUMBAI CST,KOP,C SHAHU M RAJ KOLHAPUR TERM,17:50:00,06:05:00,12.0,15.0,518.0,11024,1,1,1,0,0,0
11024,Sahyadri Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,CSTM,MUMBAI CST,22:50:00,11:55:00,13.0,5.0,518.0,11023,1,1,1,0,0,0
11025,Manmad Pune Express(Via Nasik),Exp,CR,MMR,MANMAD JN,PUNE,PUNE JN,04:30:00,12:05:00,7.0,35.0,364.0,11026,0,0,0,0,0,1
11026,Pune Manmad Express,Exp,CR,PUNE,PUNE JN,MMR,MANMAD JN,12:50:00,21:30:00,8.0,40.0,364.0,11025,0,0,0,0,0,1
11027,Mumbai CST-Chennai Mail,Mail,CR,CSTM,MUMBAI CST,MAS,CHENNAI CENTRAL,23:45:00,04:55:00,29.0,10.0,1283.0,11028,1,1,1,0,0,0
11029,Koyna Express,Exp,CR,CSTM,MUMBAI CST,KOP,C SHAHU M RAJ KOLHAPUR TERM,08:40:00,20:25:00,11.0,45.0,518.0,11030,0,0,0,0,0,1
11030,Koyna Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,CSTM,MUMBAI CST,07:55:00,20:22:00,12.0,27.0,518.0,11029,0,0,0,0,0,1
11033,PUNE - DARBHANGA Gyan Ganga Exp,Exp,CR,PUNE,PUNE JN,DBG,DARBHANGA JN,16:15:00,06:45:00,38.0,30.0,1948.0,11034,1,1,1,0,0,0
11035,Dadar-Mysore Sharavati Express,Exp,CR,DR,MUMBAI DADAR CENTRAL,MYS,MYSORE JN,21:30:00,21:45:00,24.0,15.0,1212.0,11036,1,1,1,0,0,0
11036,Mysore-Dadar Sharavati Express,Exp,CR,MYS,MYSORE JN,DR,MUMBAI DADAR CENTRAL,06:15:00,05:50:00,23.0,35.0,1212.0,11035,1,1,1,0,0,0
11037,PUNE - GORAKHPUR Exp,Exp,CR,PUNE,PUNE JN,GKP,GORAKHPUR JN,16:15:00,01:15:00,33.0,0.0,1771.0,11038,1,1,1,0,0,0
11038,GORAKHPUR - PUNE Exp,Exp,CR,GKP,GORAKHPUR JN,PUNE,PUNE JN,15:30:00,04:05:00,36.0,35.0,1771.0,11037,1,1,1,0,0,0
11039,Maharashtra Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,G,GONDIA JN,15:30:00,20:15:00,28.0,45.0,1346.0,11040,1,1,1,0,0,0
11039-Slip,Kolhapur-Gorakhpur Express Slip,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,GKP,GORAKHPUR JN,15:30:00,19:10:00,51.0,40.0,2107.0,,1,0,0,0,0,0
11040,Maharashtra Express,Exp,CR,G,GONDIA JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,08:20:00,12:45:00,28.0,25.0,1346.0,11039,1,1,1,0,0,0
11040-Slip,Gondia-Solapur Maharashtra Express Slip,Exp,CR,G,GONDIA JN,SUR,SOLAPUR JN,08:20:00,08:50:00,24.0,30.0,1132.0,,1,0,0,0,0,0
11041,Mumbai - Chennai Express,Exp,CR,CSTM,MUMBAI CST,MAS,CHENNAI CENTRAL,14:00:00,16:45:00,26.0,45.0,1283.0,11042,1,1,1,0,0,0
11043,MUMBAI LTT - MADURAI Exp,Exp,CR,LTT,LOKMANYA TILAK TERM,MDU,MADURAI JN,00:15:00,12:30:00,36.0,15.0,1702.0,11044,1,1,1,0,0,0
11044,MADURAI - MUMBAI LTT Exp,Exp,CR,MDU,MADURAI JN,LTT,LOKMANYA TILAK TERM,18:00:00,05:45:00,35.0,45.0,1702.0,11043,1,1,1,0,0,0
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,DHN,DHANBAD JN,23:45:00,12:00:00,60.0,15.0,2968.0,11046,1,1,0,0,0,0
11047,Hubli Express,Exp,CR,MRJ,MIRAJ JN,UBL,HUBLI JN,00:10:00,06:25:00,6.0,15.0,279.0,11048,1,0,0,0,0,0
11048,Hubli Miraj Express,Exp,CR,UBL,HUBLI JN,MRJ,MIRAJ JN,23:00:00,05:15:00,6.0,15.0,279.0,11047,1,0,0,0,0,0
11049,Ahmedabad-Kolhapur Express,Exp,CR,ADI,AHMEDABAD JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,19:30:00,15:25:00,19.0,55.0,961.0,11050,1,1,1,0,0,0
11050,Kolhapur-Ahmedabad Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,ADI,AHMEDABAD JN,12:50:00,07:45:00,18.0,55.0,961.0,11049,1,1,1,0,0,0
11051,Solapur-Kolhapur Express,Exp,CR,SUR,SOLAPUR JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,08:10:00,14:15:00,6.0,5.0,315.0,11052,1,1,0,0,0,0
11052,Kolhapur Solapur Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,SUR,SOLAPUR JN,08:45:00,15:00:00,6.0,15.0,315.0,11051,1,1,0,0,0,0
11056,GORAKHPUR - MUMBAI LTT Exp,Exp,CR,GKP,GORAKHPUR JN,LTT,LOKMANYA TILAK TERM,06:25:00,16:05:00,33.0,40.0,1733.0,11055,1,1,1,0,0,0
11057,Dadar Amritsar Express,Exp,CR,DR,MUMBAI DADAR CENTRAL,ASR,AMRITSAR JN,23:45:00,16:30:00,40.0,45.0,2037.0,11058,1,1,1,0,0,0
11057-Slip,Dadar Amritsar Express Slip,Exp,CR,DR,MUMBAI DADAR CENTRAL,DHI,Dhule,23:45:00,07:25:00,7.0,40.0,375.0,,1,1,1,0,0,0
11058,Amritsar Dadar Express,Exp,CR,ASR,AMRITSAR JN,DR,MUMBAI DADAR CENTRAL,08:30:00,04:00:00,43.0,30.0,2037.0,11057,1,1,1,0,0,0
11059,MUMBAI LTT - CHHAPRA Godan Exp,Exp,CR,LTT,LOKMANYA TILAK TERM,CPR,CHHAPRA,10:55:00,20:55:00,34.0,0.0,1772.0,11060,1,1,1,0,0,0
11060,CHHAPRA - MUMBAI LTT Godan Exp,Exp,CR,CPR,CHHAPRA,LTT,LOKMANYA TILAK TERM,05:30:00,16:05:00,34.0,35.0,1772.0,11059,1,1,1,0,0,0
11062,DARBHANGA - MUMBAI LTT Pawan Exp,Exp,CR,DBG,DARBHANGA JN,LTT,LOKMANYA TILAK TERM,15:50:00,03:45:00,35.0,55.0,1791.0,11061,1,1,1,0,0,0
56305,Kottayam Kollam Passenger,Pass,SR,KTYM,KOTTAYAM,QLN,KOLLAM JN,05:40:00,08:10:00,2.0,30.0,96.0,,0,0,0,0,0,0
58651,Ranchi Lohardaga Passenger,Pass,SER,RNC,RANCHI,LAD,Lohardaga,05:30:00,07:00:00,1.0,30.0,67.0,58652,0,0,0,0,0,0
04858,Jodhpur Pipar Road Passenger Special,Pass,NWR,JU,JODHPUR JN,PPR,PIPAR ROAD JN,18:30:00,19:28:00,0.0,58.0,46.0,04857,0,0,0,0,0,0
05305,Farrukhabad-KanpurAnwarganj Passenger,Pass,NER,FBD,FARRUKHABAD,CPA,KANPUR ANWARGANJ,11:00:00,14:25:00,3.0,25.0,138.0,05306,0,0,0,0,0,0
05306,KanpurAnwarganj-Farrukhabad Special,Exp,NER,CPA,KANPUR ANWARGANJ,FBD,FARRUKHABAD,14:55:00,18:20:00,3.0,25.0,138.0,05305,0,0,0,0,0,0
05650,Kamakhya - Mumbai LTT (Weekly) Special,Exp,NFR,KYQ,KAMAKHYA,LTT,LOKMANYA TILAK TERM,15:50:00,22:45:00,54.0,55.0,2613.0,05649,1,1,0,0,0,0
05697,Hill Queen Express,JShtb,NFR,LMG,LUMDING JN,LFG,Lower Haflong,09:45:00,13:30:00,3.0,45.0,104.0,05698,0,0,0,0,0,1
05698,Hill Queen Express,JShtb,NFR,LFG,Lower Haflong,LMG,LUMDING JN,13:45:00,17:30:00,3.0,45.0,104.0,05697,0,0,0,0,0,1
06002,Kollam-Chennai Central SF Special,SF,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,11:30:00,03:40:00,16.0,10.0,858.0,06001,1,1,1,0,0,0
